date,region,category,units_sold
2023-01-01,Riyadh,Grocery,728.0
2023-01-02,Riyadh,Grocery,535.0
2023-01-03,Riyadh,Grocery,514.0
2023-01-04,Riyadh,Grocery,555.0
2023-01-05,Riyadh,Grocery,561.0
2023-01-06,Riyadh,Grocery,648.0
2023-01-07,Riyadh,Grocery,713.0
2023-01-08,Riyadh,Grocery,755.0
2023-01-09,Riyadh,Grocery,518.0
2023-01-10,Riyadh,Grocery,534.0
2023-01-11,Riyadh,Grocery,509.0
2023-01-12,Riyadh,Grocery,558.0
2023-01-13,Riyadh,Grocery,628.0
2023-01-14,Riyadh,Grocery,786.0
2023-01-15,Riyadh,Grocery,680.0
2023-01-16,Riyadh,Grocery,486.0
2023-01-17,Riyadh,Grocery,610.0
2023-01-18,Riyadh,Grocery,595.0
2023-01-19,Riyadh,Grocery,586.0
2023-01-20,Riyadh,Grocery,626.0
2023-01-21,Riyadh,Grocery,949.0
2023-01-22,Riyadh,Grocery,779.0
2023-01-23,Riyadh,Grocery,637.0
2023-01-24,Riyadh,Grocery,574.0
2023-01-25,Riyadh,Grocery,577.0
2023-01-26,Riyadh,Grocery,635.0
2023-01-27,Riyadh,Grocery,589.0
2023-01-28,Riyadh,Grocery,792.0
2023-01-29,Riyadh,Grocery,806.0
2023-01-30,Riyadh,Grocery,607.0
2023-01-31,Riyadh,Grocery,607.0
2023-02-01,Riyadh,Grocery,492.0
2023-02-02,Riyadh,Grocery,626.0
2023-02-03,Riyadh,Grocery,607.0
2023-02-04,Riyadh,Grocery,814.0
2023-02-05,Riyadh,Grocery,831.0
2023-02-06,Riyadh,Grocery,584.0
2023-02-07,Riyadh,Grocery,591.0
2023-02-08,Riyadh,Grocery,563.0
2023-02-09,Riyadh,Grocery,664.0
2023-02-10,Riyadh,Grocery,695.0
2023-02-11,Riyadh,Grocery,896.0
2023-02-12,Riyadh,Grocery,832.0
2023-02-13,Riyadh,Grocery,610.0
2023-02-14,Riyadh,Grocery,535.0
2023-02-15,Riyadh,Grocery,558.0
2023-02-16,Riyadh,Grocery,644.0
2023-02-17,Riyadh,Grocery,714.0
2023-02-18,Riyadh,Grocery,918.0
2023-02-19,Riyadh,Grocery,881.0
2023-02-20,Riyadh,Grocery,717.0
2023-02-21,Riyadh,Grocery,584.0
2023-02-22,Riyadh,Grocery,591.0
2023-02-23,Riyadh,Grocery,652.0
2023-02-24,Riyadh,Grocery,685.0
2023-02-25,Riyadh,Grocery,943.0
2023-02-26,Riyadh,Grocery,855.0
2023-02-27,Riyadh,Grocery,669.0
2023-02-28,Riyadh,Grocery,657.0
2023-03-01,Riyadh,Grocery,666.0
2023-03-02,Riyadh,Grocery,624.0
2023-03-03,Riyadh,Grocery,704.0
2023-03-04,Riyadh,Grocery,939.0
2023-03-05,Riyadh,Grocery,878.0
2023-03-06,Riyadh,Grocery,812.0
2023-03-07,Riyadh,Grocery,805.0
2023-03-08,Riyadh,Grocery,609.0
2023-03-09,Riyadh,Grocery,607.0
2023-03-10,Riyadh,Grocery,753.0
2023-03-11,Riyadh,Grocery,999.0
2023-03-12,Riyadh,Grocery,743.0
2023-03-13,Riyadh,Grocery,588.0
2023-03-14,Riyadh,Grocery,671.0
2023-03-15,Riyadh,Grocery,646.0
2023-03-16,Riyadh,Grocery,563.0
2023-03-17,Riyadh,Grocery,691.0
2023-03-18,Riyadh,Grocery,888.0
2023-03-19,Riyadh,Grocery,786.0
2023-03-20,Riyadh,Grocery,654.0
2023-03-21,Riyadh,Grocery,620.0
2023-03-22,Riyadh,Grocery,609.0
2023-03-23,Riyadh,Grocery,774.0
2023-03-24,Riyadh,Grocery,685.0
2023-03-25,Riyadh,Grocery,890.0
2023-03-26,Riyadh,Grocery,772.0
2023-03-27,Riyadh,Grocery,635.0
2023-03-28,Riyadh,Grocery,605.0
2023-03-29,Riyadh,Grocery,514.0
2023-03-30,Riyadh,Grocery,643.0
2023-03-31,Riyadh,Grocery,597.0
2023-04-01,Riyadh,Grocery,931.0
2023-04-02,Riyadh,Grocery,773.0
2023-04-03,Riyadh,Grocery,677.0
2023-04-04,Riyadh,Grocery,659.0
2023-04-05,Riyadh,Grocery,614.0
2023-04-06,Riyadh,Grocery,632.0
2023-04-07,Riyadh,Grocery,1186.0
2023-04-08,Riyadh,Grocery,1565.0
2023-04-09,Riyadh,Grocery,1524.0
2023-04-10,Riyadh,Grocery,1178.0
2023-04-11,Riyadh,Grocery,871.0
2023-04-12,Riyadh,Grocery,933.0
2023-04-13,Riyadh,Grocery,1042.0
2023-04-14,Riyadh,Grocery,1528.0
2023-04-15,Riyadh,Grocery,1848.0
2023-04-16,Riyadh,Grocery,1522.0
2023-04-17,Riyadh,Grocery,1085.0
2023-04-18,Riyadh,Grocery,1229.0
2023-04-19,Riyadh,Grocery,1010.0
2023-04-20,Riyadh,Grocery,635.0
2023-04-21,Riyadh,Grocery,615.0
2023-04-22,Riyadh,Grocery,842.0
2023-04-23,Riyadh,Grocery,780.0
2023-04-24,Riyadh,Grocery,632.0
2023-04-25,Riyadh,Grocery,617.0
2023-04-26,Riyadh,Grocery,583.0
